,road_name
1637,金履街
1638,九龙大道
1639,靖兴街
1640,敬成路
1641,金虎路
1642,金鹏路
1643,炬光路
1644,江陵路
1645,君跃路
1646,将军西街
1647,将军东街
1648,锦水河桥
1649,金石街
1650,酱盐街
1651,金亿路
1652,金度路
1653,锦水路
1654,军新路
1655,嘉裕街
1656,寂光街
1657,嘉荟街
1658,集萃街
1659,金收巷
1660,菁华路
1661,巨石大道
1662,巨石路
1663,菁华路（延线）
1664,金西路
1665,郊山路
1666,旌金公路
1667,菌源街
1668,金茂街
1669,金园街
1670,江北街
1671,金橘街
1672,金鹰路
1673,九清路
1674,金粮路
1675,街安路
1676,接待寺立交桥
